,OwnerInfo,NumPropertiesOwned
8,   P O BOX  288        INDIANOLA PA   15051,9
20,   PO BOX 110040        PITTSBURGH PA   15232,7
21,   PO BOX 11067        PITTSBURGH PA   15237,9
48,   PO BOX 609        SOUTHEASTERN PA   19399,6
54,   PO BOX 81067        PITTSBURGH PA   15217,34
60,   PO BOX 81917        PITTSBURGH PA   15217,6
68,   PO BOX 99938        PITTSBURGH PA   15233,7
80,100  N BROADWAY   STE 100    SAINT LOUIS MO   63102,12
85,100  W STATION SQUARE DR  STE 350    PITTSBURGH PA   15219,6
96,1080   PITTSFORD VICTOR RD  STE 100    PITTSFORD NY   14534,6
133,121   EDGEWOOD AVE       PITTSBURGH PA   15218,19
171,1670   GOLDEN MILE HWY       MONROEVILLE PA   15146,7
189,1823   PENN AVE       PITTSBURGH PA   15221,12
191,1823   PENN AVE  STE 3    PITTSBURGH PA   15221,8
201,200   ROSS ST  FL 9    PITTSBURGH PA   15219,23
220,233   SPAHR ST       PITTSBURGH PA   15232,18
236,2500   ELDO RD  STE 1    MONROEVILLE PA   15146,15
244,262   FREEPORT RD       PITTSBURGH PA   15238,6
267,301   CHARTIERS AVE       MC KEES ROCKS PA   15136,9
273,310   SEVEN FIELDS BLVD  STE 350    MARS PA   16046,20
293,3535   BLVD OF THE ALLIES        PITTSBURGH PA   15213,6
301,3700   SOUTH WATER ST  STE 100    PITTSBURGH PA   15203,7
352,480   LINCOLN HWY       NORTH VERSAILLES PA   15137,24
365,515  S AIKEN AVE       PITTSBURGH PA   15232,6
381,5500   WALNUT ST  STE 300    PITTSBURGH PA   15232,7
393,5738   BAUM BLVD       PITTSBURGH PA   15206,7
406,611   WILLIAM PENN PL  STE 800    PITTSBURGH PA   15219,10
416,666   5TH AVE  FL 15    NEW YORK NY   10103,15
442,848  W NORTH AVE       PITTSBURGH PA   15233,7
